prod_nombre;prod_peso;tipo_unidad;porcentaje_iva;costo_unitario;valor_unitario;descuento_producto
Amazing Spider-Man Vol. 1 - Marvel (Tomo);0.35;UND;0;28000;52000;0
Amazing Spider-Man Vol. 2 - Marvel (Tomo);0.35;UND;0;29000;53800;5
X-Men: Edad de Apocalipsis - Marvel (Deluxe);0.85;UND;0;67000;133600;10
Avengers: Los Vengadores Vol. 1 - Marvel (Tomo);0.35;UND;0;31000;57400;0
Iron Man: Demonio en una Botella - Marvel (Tomo);0.35;UND;0;32000;59200;5
Capitan America: El Soldado de Invierno - Marvel (Deluxe);0.85;UND;0;65000;130000;10
Thor: Dios del Trueno - Marvel (Tomo);0.35;UND;0;29000;53800;0
Wolverine: Origen - Marvel (Deluxe);0.85;UND;0;67000;133600;5
Daredevil de Frank Miller - Marvel (Deluxe);0.85;UND;0;68000;135400;10
Guardianes de la Galaxia Vol. 1 - Marvel (Tomo);0.35;UND;0;32000;59200;0
Deadpool: Clasico Vol. 1 - Marvel (Regular);0.1;UND;0;9000;17000;0
Hulk: Planeta Hulk - Marvel (Deluxe);0.85;UND;0;66000;131800;10
Black Panther de Christopher Priest - Marvel (Tomo);0.35;UND;0;30000;55600;0
Doctor Strange: El Hechicero Supremo - Marvel (Regular);0.1;UND;0;12000;22400;0
Fantastic Four: Los 4 Fantasticos Vol. 1 - Marvel (Tomo);0.35;UND;0;32000;59200;10
Venom: Lethal Protector - Marvel (Regular);0.1;UND;0;9000;17000;0
Ms. Marvel Vol. 1 - Marvel (Regular);0.1;UND;0;10000;18800;0
She-Hulk: Leyes de la Atraccion - Marvel (Regular);0.1;UND;0;11000;20600;5
Silver Surfer: Requiem - Marvel (Deluxe);0.85;UND;0;68000;135400;0
Moon Knight: Renacido - Marvel (Tomo);0.35;UND;0;32000;59200;5
Batman: Year One - DC (Deluxe);0.85;UND;0;65000;130000;10
Batman: The Killing Joke - DC (Deluxe);0.85;UND;0;66000;131800;0
Batman: El Regreso del Caballero Oscuro - DC (Deluxe);0.85;UND;0;67000;133600;5
Superman: Red Son - DC (Deluxe);0.85;UND;0;68000;135400;10
Superman: Hijo Rojo Edicion Especial - DC (Deluxe);0.85;UND;0;69000;137200;0
Wonder Woman: Los Origenes - DC (Tomo);0.35;UND;0;28000;52000;5
The Flash: Renacimiento - DC (Tomo);0.35;UND;0;29000;53800;10
Green Lantern: Renacimiento - DC (Tomo);0.35;UND;0;30000;55600;0
Justice League: La Torre de Babel - DC (Tomo);0.35;UND;0;31000;57400;5
Aquaman: El Trono de Atlantis - DC (Regular);0.1;UND;0;13000;24200;5
Teen Titans: El Juicio de Kid Flash - DC (Regular);0.1;UND;0;9000;17000;0
Suicide Squad Vol. 1 - DC (Regular);0.1;UND;0;10000;18800;0
